Age of Householder,Married-couples familes,,"Male householder, no wife present",,"Female householder, no husband present",,"Male householder, one person present",,"Female householder, one person present",,"Male householder,Other 2-or-more person households",,"Female householder, Other 2-or-more person households",,"Male householder, single householders",,"Female householder, single householders",,
...45 to 49 years........................................................,"5,927","4,864",630,397,"1,537",719,"1,134",517,865,386,303,161,182,94,"2,068","1,075","2,584","1,199",
...50 to 54 years.......................................................,"5,927","5,039",524,341,"1,309",743,"1,353",672,"1,239",632,331,203,248,142,"2,208","1,216","2,796","1,518",
...55 to 59 years........................................................,"6,105","5,369",473,330,"1,129",698,"1,640",886,"1,753",967,297,175,251,170,"2,410","1,391","3,134","1,835",
...60 to 64 years.........................................................,"5,787","5,211",342,240,830,533,"1,607",921,"2,006","1,263",254,176,207,146,"2,202","1,336","3,044","1,942",
...65 to 69 years.........................................................,"5,186","4,728",211,164,666,477,"1,301",771,"2,105","1,382",167,120,172,119,"1,678","1,054","2,944","1,978",
...70 to 74 years........................................................,"3,780","3,506",170,133,480,358,985,664,"1,939","1,336",122,96,118,86,"1,277",892,"2,538","1,780",
...75 years and over.................................................,"4,380","3,984",298,248,"1,031",844,"1,843","1,213","4,899","3,289",132,95,139,104,"2,274","1,556","6,069","4,237",
,,,,,,,,,,,,,,,,,,,
É..Less than 35 years.............................................,"8,789","4,811","2,415","1,007","4,232","1,096","3,322",780,"2,468",481,"2,529",498,"1,721",320,"8,266","2,285","8,421","1,897",
É..35 to 44 years.........................................................,"11,215","8,249","1,239",641,"3,337","1,327","2,044",781,"1,383",516,640,251,308,137,"3,923","1,673","5,029","1,979",
É..45 to 54 years.....................................................,"11,854","9,903","1,154",737,"2,846","1,462","2,487","1,189","2,104","1,018",634,365,430,236,"4,276","2,291","5,380","2,716",
É..55 to 64 years......................................................,"11,892","10,580",815,570,"1,960","1,231","3,246","1,806","3,759","2,231",551,350,459,316,"4,612","2,727","6,178","3,777",
É..65 years and over.............................................,"13,346","12,218",680,545,"2,177","1,680","4,129","2,647","8,944","6,007",421,310,430,309,"5,230","3,503","11,551","7,995",
2018,Total,Owner,Total,Owner,Total,Owner,Total,Owner,Total ,Owner,Total,Owner,Total,Owner,Total,Owner,Total,Owner,
"United States, total....................."," 57,293 "," 46,281 "," 6,579 "," 3,701 "," 14,577 "," 6,988 "," 15,638 "," 7,416 "," 18,831 "," 10,424 "," 4,921 "," 1,900 "," 3,619 "," 1,501 "," 27,137 "," 13,016 "," 37,028 "," 18,914 ",
...Less than 25 years.............................................., 839 , 288 , 984 , 417 ," 1,117 ", 313 , 796 , 130 , 711 , 85 , 813 , 74 , 768 , 64 ," 2,593 ", 621 ," 2,596 ", 462 ,
...25 to 29 years........................................................," 2,948 "," 1,518 ", 807 , 309 ," 1,490 ", 367 ," 1,467 ", 319 ," 1,059 ", 196 ," 1,093 ", 241 , 675 , 151 ," 3,366 ", 869 ," 3,224 ", 715 ,
...30 to 34 years..........................................................," 4,948 "," 3,150 ", 736 , 354 ," 1,517 ", 449 ," 1,275 ", 371 , 808 , 222 , 611 , 197 , 344 , 139 ," 2,623 ", 922 ," 2,670 ", 810 ,
...35 to 39 years........................................................," 5,805 "," 4,192 ", 654 , 341 ," 1,753 ", 654 ," 1,078 ", 385 , 693 , 265 , 389 , 161 , 210 , 94 ," 2,120 ", 887 ," 2,656 "," 1,012 ",
...40 to 44 years......................................................," 5,560 "," 4,295 ", 610 , 340 ," 1,554 ", 647 , 912 , 358 , 625 , 247 , 256 , 123 , 158 , 72 ," 1,777 ", 821 ," 2,337 ", 966 ,
...45 to 49 years........................................................," 5,811 "," 4,791 ", 639 , 397 ," 1,527 ", 779 ," 1,118 ", 522 , 908 , 430 , 301 , 155 , 193 , 109 ," 2,058 "," 1,074 "," 2,628 "," 1,317 ",
...50 to 54 years.......................................................," 5,801 "," 4,994 ", 554 , 363 ," 1,293 ", 737 ," 1,380 ", 687 ," 1,212 ", 635 , 336 , 202 , 273 , 166 ," 2,271 "," 1,252 "," 2,778 "," 1,538 ",
...55 to 59 years........................................................," 6,031 "," 5,290 ", 501 , 343 ," 1,165 ", 719 ," 1,560 ", 849 ," 1,672 ", 960 , 341 , 204 , 272 , 174 ," 2,402 "," 1,396 "," 3,109 "," 1,853 ",
...60 to 64 years.........................................................," 5,942 "," 5,329 ", 370 , 275 , 878 , 577 ," 1,615 ", 930 ," 1,976 "," 1,214 ", 281 , 183 , 251 , 183 ," 2,267 "," 1,387 "," 3,105 "," 1,974 ",
...65 to 69 years.........................................................," 5,187 "," 4,774 ", 247 , 177 , 693 , 482 ," 1,400 ", 848 ," 2,099 "," 1,386 ", 200 , 131 , 182 , 134 ," 1,847 "," 1,157 "," 2,974 "," 2,002 ",
...70 to 74 years........................................................," 3,913 "," 3,618 ", 176 , 138 , 550 , 408 ," 1,078 ", 695 ," 2,028 "," 1,396 ", 141 , 112 , 137 , 101 ," 1,395 ", 945 ," 2,715 "," 1,905 ",
...75 years and over.................................................," 4,509 "," 4,043 ", 301 , 246 ," 1,041 ", 857 ," 1,959 "," 1,322 "," 5,039 "," 3,388 ", 158 , 115 , 156 , 115 ," 2,418 "," 1,684 "," 6,236 "," 4,360 ",
,,,,,,,,,,,,,,,,,,,
É..Less than 35 years.............................................," 8,735 "," 4,956 "," 2,527 "," 1,081 "," 4,124 "," 1,129 "," 3,538 ", 819 ," 2,578 ", 503 ," 2,517 ", 512 ," 1,787 ", 355 ," 8,582 "," 2,412 "," 8,489 "," 1,986 ",
É..35 to 44 years.........................................................," 11,366 "," 8,487 "," 1,263 ", 681 ," 3,306 "," 1,301 "," 1,990 ", 743 ," 1,319 ", 512 , 645 , 284 , 368 , 166 ," 3,898 "," 1,708 "," 4,993 "," 1,979 ",
É..45 to 54 years.....................................................," 11,612 "," 9,785 "," 1,193 ", 760 ," 2,820 "," 1,515 "," 2,498 "," 1,209 "," 2,120 "," 1,065 ", 637 , 357 , 466 , 275 ," 4,329 "," 2,327 "," 5,406 "," 2,855 ",
É..55 to 64 years......................................................," 11,972 "," 10,619 ", 871 , 617 ," 2,042 "," 1,296 "," 3,175 "," 1,779 "," 3,649 "," 2,175 ", 622 , 387 , 523 , 356 ," 4,668 "," 2,784 "," 6,214 "," 3,827 ",
É..65 years and over.............................................," 13,608 "," 12,434 ", 724 , 562 ," 2,285 "," 1,747 "," 4,437 "," 2,865 "," 9,166 "," 6,170 ", 500 , 359 , 474 , 350 ," 5,660 "," 3,786 "," 11,925 "," 8,267 ",
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
