Age of Householder,Married-couples familes,,"Male householder, no wife present",,"Female householder, no husband present",,"Male householder, one person present",,"Female householder, one person present",,"Male householder,Other 2-or-more person households",,"Female householder, Other 2-or-more person households",,"Male householder, single householders",,"Female householder, single householders",,
...30 to 34 years..........................................................,"4,957","3,273",584,272,"1,526",466,"1,025",383,674,237,527,200,275,103,"2,137",855,"2,475",805,
...35 to 39 years........................................................,"5,681","4,310",562,288,"1,648",622,958,437,561,255,327,142,151,65,"1,846",867,"2,361",942,
...40 to 44 years......................................................,"6,132","5,023",566,350,"1,603",752,"1,163",539,674,312,321,151,163,82,"2,051","1,039","2,440","1,146",
...45 to 49 years........................................................,"6,567","5,633",618,405,"1,640",928,"1,426",711,"1,026",515,302,163,219,137,"2,346","1,278","2,885","1,581",
...50 to 54 years.......................................................,"6,459","5,698",530,367,"1,322",808,"1,550",842,"1,397",790,309,200,261,166,"2,389","1,410","2,980","1,764",
...55 to 59 years........................................................,"5,787","5,209",396,293,957,629,"1,385",817,"1,555",938,234,148,220,151,"2,015","1,258","2,732","1,718",
...60 to 64 years.........................................................,"5,162","4,715",252,192,666,460,"1,264",789,"1,730","1,170",185,125,172,129,"1,701","1,107","2,568","1,759",
...65 to 69 years.........................................................,"3,796","3,503",135,102,515,374,881,557,"1,561","1,098",107,75,108,87,"1,124",735,"2,184","1,558",
...70 to 74 years........................................................,"2,680","2,501",101,80,473,372,645,421,"1,459","1,046",74,58,67,55,819,559,"1,999","1,473",
...75 years and over.................................................,"3,832","3,459",223,194,961,824,"1,495","1,085","4,702","3,294",95,69,79,62,"1,814","1,348","5,742","4,180",
,,,,,,,,,,,,,,,,,,,
É..Less than 35 years.............................................,"9,310","5,420","2,184",896,"4,424","1,139","3,012",865,"2,290",511,"2,167",546,"1,423",309,"7,362","2,306","8,137","1,959",
É..35 to 44 years.........................................................,"11,813","9,333","1,128",637,"3,252","1,374","2,121",976,"1,235",566,648,293,314,147,"3,897","1,907","4,801","2,087",
É..45 to 54 years.....................................................,"13,027","11,331","1,148",772,"2,962","1,736","2,976","1,553","2,423","1,306",611,363,480,304,"4,735","2,689","5,865","3,345",
É..55 to 64 years......................................................,"10,950","9,924",648,486,"1,624","1,088","2,648","1,606","3,285","2,109",419,273,392,280,"3,715","2,365","5,300","3,477",
É..65 years and over.............................................,"10,308","9,463",458,376,"1,950","1,570","3,021","2,063","7,721","5,438",277,203,253,203,"3,757","2,642","9,924","7,211",
2011,Total,Owner,Total,Owner,Total,Owner,Total,Owner,Total ,Owner,Total,Owner,Total,Owner,Total,Owner,Total,Owner,
"United States, total.....................","55,073","44,907","5,657","3,146","14,399","6,929","14,051","7,109","17,205","10,072","4,202","1,660","2,959","1,275","23,909","11,915","34,562","18,276",
...Less than 25 years..............................................,"1,012",341,897,361,"1,367",354,712,103,684,72,770,81,637,60,"2,379",546,"2,688",486,
...25 to 29 years........................................................,"3,150","1,629",705,256,"1,557",342,"1,280",336,935,182,907,251,530,138,"2,891",843,"3,022",662,
...30 to 34 years..........................................................,"4,938","3,235",637,277,"1,670",477,"1,147",394,748,266,542,198,276,111,"2,326",870,"2,693",854,
...35 to 39 years........................................................,"5,458","4,045",545,279,"1,614",604,968,401,597,251,332,128,154,68,"1,845",808,"2,365",923,
...40 to 44 years......................................................,"6,051","4,868",571,328,"1,615",764,"1,105",513,691,313,324,164,159,81,"2,001","1,005","2,465","1,159",
...45 to 49 years........................................................,"6,260","5,306",610,397,"1,629",907,"1,407",726,995,484,317,176,233,127,"2,335","1,299","2,856","1,518",
...50 to 54 years.......................................................,"6,421","5,584",530,353,"1,377",848,"1,485",814,"1,382",797,313,188,278,179,"2,328","1,355","3,037","1,824",
...55 to 59 years........................................................,"5,866","5,275",406,297,969,618,"1,484",847,"1,654","1,030",243,157,226,160,"2,133","1,302","2,849","1,808",
